emotion,response
happy,That's wonderful! Keep smiling 🙂
sad,I'm here for you. It's okay to feel sad 😔
angry,Take a deep breath. I understand you're angry 😡
anxious,Try some slow breathing. You can get through this 😟
excited,Wow! That's exciting! 🎉
bored,Let's find something fun to do 🤔
confused,No worries, let's break it down together 🤓
lonely,You're not alone. I'm here 💛
tired,Make sure to rest. Self-care matters 😴
stressed,Let's try to relax for a few minutes 🧘
motivated,Keep going! You're doing great 💪
surprised,Oh! That's unexpected 😲
hopeful,Keep faith! Things can get better 🌈
disappointed,It's okay to feel disappointed. You'll bounce back 💛
guilty,Remember, everyone makes mistakes. Forgive yourself 💙
jealous,Focus on your own growth. Comparison is tough 💚
proud,You should feel proud! 🎖️
relaxed,Enjoy this calm moment 😌
curious,That's interesting! Let's explore 🧐
grateful,Feeling grateful is powerful 🙏
nostalgic,Ah, memories… cherish them 💛
shy,It's okay to take your time 😊
